last_name, first_name,player_id,year,on_base_plus_slg,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,oz_contact_percent,out_zone_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
Stassi, Max,545358,2022,0.57,88.6,9.5,9.4,4.9,17.9,23.8,40.4,3.1,39.5,66.2,21.1,41.6,49.1,73.6,50.9,41.8,34,35.4,40.4,24.2,52,25.6,14.8,7.6
Trout, Mike,545361,2022,0.999,91.6,24.6,19.7,7,20.7,34.3,15,3.3,51,64.8,22.6,53.1,50.6,75.8,49.4,44.2,30.2,40,33.7,26.3,25,44.7,21.3,9
Herrera, Odubel,546318,2022,0.658,86.9,4,4.9,3.5,22.2,20.8,40.3,6.3,37.5,68.6,38.5,54,52.9,89.1,47.1,40.8,24,38.2,26.4,35.4,57.6,17.4,17.4,7.6
Almora Jr., Albert,546991,2022,0.63,84,6.7,1.8,4.1,25.1,21.6,37.4,7.6,25.4,67.8,36.5,65.2,52.1,83,47.9,42.6,23.6,42.1,37.4,20.5,50.9,18.1,23.4,7.6
Harper, Bryce,547180,2022,0.877,92.1,11.8,12.8,6.2,26.6,21.4,29,3.8,47.9,82.1,35.7,53.3,55.8,80.1,44.2,42,28.2,37.9,36.2,25.9,42.1,25.9,29.7,2.4
Abreu, Jose,547989,2022,0.824,92.2,8,9.5,7.7,26.7,19,33.9,2.8,51.8,66.1,29.8,59.1,51.7,85.3,48.3,41.8,23.2,34.5,39.2,26.3,47.7,24,25.1,3.2
Diaz, Elias,553869,2022,0.648,88.4,11.1,5.9,5.1,23.2,25.7,35.7,2.6,39.3,72.5,33.1,57.9,52.7,87.1,47.3,41.9,22.7,32.4,41.2,26.5,47.8,22.8,21,8.5
Narvaez, Omar,553882,2022,0.596,84.7,17.7,2.4,4.8,24.2,35.3,27.5,5.3,18.4,73.5,27.8,64.5,51.4,81.3,48.6,43.9,23.4,37.7,34.3,28,36.2,34.8,24.2,4.8
Suarez, Eugenio,553993,2022,0.791,89.8,19.9,14.8,7.4,20.5,29,24.4,3.7,43.5,63.6,21.5,41.9,51.7,76,48.3,41.8,33.1,44.3,31.3,24.4,34.1,39.2,20.7,6
Urshela, Gio,570482,2022,0.767,88.9,11.8,7,6.6,26.9,24.5,31.1,2.9,37.6,71.2,36.1,67.2,51.5,84.8,48.5,42.3,21.4,33.3,39.8,26.9,41.7,23.8,30.1,4.4
Schoop, Jonathan,570731,2022,0.561,87,9.7,4.8,6.6,22,23.8,36.8,5,38.6,75.2,36.8,53.6,51.3,81.2,48.7,41.5,28.2,37,39.9,23,45.2,20.6,24.3,9.8
Arenado, Nolan,571448,2022,0.891,88.7,21.7,8.2,7.8,23.5,36.4,21.5,2.5,38.9,66.9,32.6,68.1,54.1,88.3,45.9,41,19.1,45.2,34.8,20,30.5,29,26.2,14.3
Barnhart, Tucker,571466,2022,0.553,84.5,10.1,1.9,2.9,22.6,27.4,38.9,5.3,26,65.7,25.2,55.9,48.3,85,51.7,45.2,22.5,34.1,37,28.8,54.3,17.3,21.6,6.7
Farmer, Kyle,571657,2022,0.7,85.5,12.7,4.4,6.9,26,23,32.4,6.7,33.8,64.7,36.3,65.2,51.2,89.7,48.8,43.3,19.2,39.1,35.4,25.5,45.3,23.4,25.5,5.7
Haniger, Mitch,571745,2022,0.736,91.9,18.2,11.8,8.1,21.7,30.4,25.5,2.5,47.2,65.7,26.4,47.4,51.4,80.2,48.6,40.1,29.6,44.1,32.9,23,37.3,29.2,23,10.6
Hernandez, Enrique,571771,2022,0.629,87.8,17.1,5.8,3.4,25.5,33.3,27.9,3.7,35,70.7,27.2,52.1,53,85.3,47,41.5,24.6,43.9,33.7,22.4,39.8,22.1,23.5,14.6
Lamb, Jake,571875,2022,0.707,91.5,15,11.9,6.8,25.4,28.8,25.4,1.7,44.1,63.5,23.8,40,51,79.4,49,42.6,31.1,39,37.3,23.7,37.3,33.9,22,6.8
Maile, Luke,571912,2022,0.627,84.5,17,5.4,6.9,23.8,31.5,26.2,6.2,25.4,65,24.3,50,49.2,80.4,50.8,42.3,27.6,38.5,40,21.5,37.7,32.3,20.8,9.2
Muncy, Max,571970,2022,0.713,90.3,20.9,13.4,10.3,18.8,33.4,20.1,3.6,45.6,60.4,16.5,55.5,49.7,78.4,50.3,40.4,26.1,48,31.3,20.7,32.5,39.5,20.1,7.9
Myers, Wil,571976,2022,0.713,88.5,13,7.3,7.9,21.9,26.4,32,3.4,37.6,61.5,29.7,52.6,50.8,76.4,49.2,44.1,31.2,35.4,34.8,29.8,41.6,26.4,26.4,5.6
