last_name, first_name,player_id,year,on_base_plus_slg,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,oz_contact_percent,out_zone_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
Robles, Victor,645302,2022,0.577,84.6,15.8,3.2,3.2,20.6,27.8,28.5,16.6,23.8,73.2,32.9,49.8,48.3,78.5,51.7,40.1,27.2,40.1,36.1,23.8,45.8,19.9,23.1,11.2
Herrera, Jose,645444,2022,0.449,84.7,3,0,0,19.8,19.8,50.6,9.9,11.1,60.5,22.8,58.5,48.8,83,51.2,47.6,23.5,43.2,34.6,22.2,65.4,11.1,17.3,6.2
Ford, Mike,645801,2022,0.615,88.7,18.1,3.3,7.7,27.5,35.2,22,4.4,33,52.5,20.6,62.9,54.4,85.2,45.6,45.3,21.9,50.5,37.4,12.1,33,28.6,28.6,9.9
Devers, Rafael,646240,2022,0.879,93.1,11.3,11.5,7.7,23.9,22.5,32,2,50.9,76.4,36.2,60.7,54.2,77.7,45.8,41.3,28.1,28.2,44.8,27,42.3,23.9,26.4,7.4
Naylor, Josh,647304,2022,0.771,89.4,10.3,8.6,6.4,21.9,23.3,35,4.3,42.8,72.8,32.9,68.2,54.7,87.1,45.3,42.1,19.5,42,37.2,20.9,49.5,22.5,20.9,7.2
Toro, Abraham,647351,2022,0.563,87,16.7,6.8,4.6,19.4,36.1,30.8,2.3,29.7,64.1,30.9,63.6,50.5,84.7,49.5,41.9,21.6,42.2,36.1,21.7,38.8,35,18.3,8
Diaz, Aledmys,649557,2022,0.691,86.6,12.4,6.3,5.9,24,24.8,30.3,8.3,36.8,74.2,33,64.2,52.7,83.7,47.3,41.7,22.7,45.3,33.5,21.3,39.8,24.4,28.3,7.5
Urias, Luis,649966,2022,0.739,87.3,18,8.3,5.4,24,31.1,25.3,5.1,35.3,63.2,23.3,70.9,50.1,80.4,49.9,42.9,22.2,42.3,34,23.7,36.5,34,21.8,7.7
Diaz, Lewin,650331,2022,0.512,88.3,15.6,5.6,4.6,18.5,38,30.6,2.8,28.7,60,33.5,60.2,52.2,80.5,47.8,42.3,27.2,43.5,36.1,20.4,37,35.2,21.3,6.5
Arraez, Luis,650333,2022,0.795,88.9,12.9,3.6,5.7,30.6,27.6,31,1.4,30.2,63.2,24.1,89.4,52.1,94,47.9,43.9,7.1,28.4,41.2,30.4,41.2,25.4,29.8,3.6
Jimenez, Eloy,650391,2022,0.858,92.8,7.4,14.7,8.5,21.4,14.3,39.7,1.3,54.9,71.6,32.2,55.5,55.1,77.5,44.9,40.1,30.3,30.4,45.1,24.6,50,25.4,21.9,2.7
Torres, Gleyber,650402,2022,0.76,90.4,17.5,10.7,8.5,23.7,30.4,23.7,3,45.3,71.9,27.7,59.9,50.7,77.7,49.3,41.2,27.1,35.9,35.4,28.7,35.9,32.7,24.2,7.2
Castro, Willi,650489,2022,0.65,84.8,13.9,3.5,4.2,29.3,25.4,31.4,5.9,31.4,77.2,39.8,51.9,50.8,81,49.2,43.9,28.4,32.1,40.4,27.5,42.9,24.4,23.7,9.1
Diaz, Yandy,650490,2022,0.824,92.2,7.7,4.8,8.9,26.1,20.5,36.7,1.7,49,63.6,19.6,71,50.7,90.4,49.3,42.1,14.3,29,37.9,33.1,50,19.6,24.4,6
De La Cruz, Bryan,650559,2022,0.725,90.8,9.8,11.9,6.2,28.4,18.1,31.3,4.1,47.3,70.7,31.1,57,54.4,78.7,45.6,43.1,28.7,38.7,40.3,21,42.4,24.7,30.5,2.5
Rengifo, Luis,650859,2022,0.723,86.9,9.9,5.4,4.9,23.1,23.8,37.7,5.1,33.6,77.4,34.8,62.5,51,85.8,49,41.4,21.5,38.7,44.8,16.5,48.2,23.6,21.2,7.1
Adams, Riley,656180,2022,0.555,90.2,13.5,9.4,9.4,14.6,24,38.5,3.1,45.8,58.9,33.9,51.4,53.4,81.5,46.6,46.2,30.1,45.8,28.1,26,44.8,28.1,18.8,8.3
Allen, Greg,656185,2022,0.525,87.6,8.5,2.5,5,22.5,22.5,36.3,11.3,32.5,69.3,23.7,39.1,50.8,76.8,49.2,44.8,30.2,50,26.3,23.8,55,22.5,17.5,5
Chapman, Matt,656305,2022,0.757,92.2,19,12.9,8.8,24.1,28.7,22.5,2.7,51.2,64.2,19.2,55.3,50,76,50,43.5,28.7,44.8,36.5,18.8,34.6,30,22.3,13.1
Chavis, Michael,656308,2022,0.654,85.4,11.1,7.5,6.1,22.9,24,29.7,9.3,38.7,76.6,39.3,50.3,50.5,79.1,49.5,43.7,30.8,38.7,40.1,21.1,44.8,21.9,24.4,9
Fairchild, Stuart,656413,2022,0.8,88.9,13.3,9.5,7.9,20.6,20.6,36.5,4.8,41.3,75.3,18,16.7,47.3,72.6,52.7,39.7,35.8,44.4,33.3,22.2,44.4,33.3,15.9,6.3
Hilliard, Sam,656541,2022,0.544,92,13.4,9.2,9.2,19.3,26.9,32.8,2.5,48.7,67.6,19.9,43,49.7,70.9,50.3,46.1,34.8,31.9,48.7,19.3,44.5,26.1,21,8.4
Hoskins, Rhys,656555,2022,0.794,90.1,18.1,11.1,5.9,25.5,30,24.8,2.6,44.3,60.7,23.2,52.4,50.3,82.7,49.7,44,25.7,45,32.3,22.6,36.3,33,22.9,7.8
Joe, Connor,656582,2022,0.697,85.3,10.6,4.5,3.9,26,25,34.1,5.5,33.8,58.4,21.7,59.9,48.9,85.3,51.1,42,21.2,36.4,39.6,24,47.1,19.5,26.3,7.1
Luplow, Jordan,656669,2022,0.634,87.2,17.7,7.5,4.8,22.6,30.8,28.8,4.8,32.9,72.3,24.3,46.8,50.8,77.1,49.2,45.1,29.9,50,29.5,20.5,41.1,32.9,14.4,11.6
McKinstry, Zach,656716,2022,0.632,86.4,12.9,4.3,6,31,25.9,26.7,6,30.2,66.2,28.4,60.3,51.7,86.6,48.3,40.7,21.1,42.2,27.6,30.2,39.7,25,31,4.3
Mullins II, Cedric,656775,2022,0.72,88.8,17.4,4.9,5.9,23,32.4,28.7,4.5,37.3,71.3,29.9,63,48.2,82,51.8,43.7,22.2,41.8,33.2,25,41,26.4,21.1,11.5
O'Hearn, Ryan,656811,2022,0.611,92.1,13.4,7,11,31,19,27,4,48,67.9,30.4,50,49.4,87.2,50.6,39.3,24.1,43,30,27,46,21,28,5
Rivera, Emmanuel,656896,2022,0.702,90.4,9.8,9.3,6,21,23.8,38.3,1.6,38.3,72.6,28.1,50,50.6,83.8,49.4,44.1,25.8,39.1,34.7,26.2,49.2,26.2,20.6,4
Schwarber, Kyle,656941,2022,0.827,93.3,19.2,20.1,8.7,17.4,27.7,21.4,4.5,54.4,60.7,21.7,52.3,51.5,77.1,48.5,44.1,29,42.5,37.7,19.8,34.3,33.8,20.6,11.3
Smith, Pavin,656976,2022,0.667,87.9,15.2,9.9,3.3,21.5,29.3,30.9,5,35.9,55.9,24.1,60.9,51.6,85.7,48.4,44.6,21.7,38.1,35.4,26.5,43.6,29.8,17.7,8.8
Thomas, Lane,657041,2022,0.705,86.4,12.5,6.5,5.7,22.4,26.4,33.2,4.9,34.5,61.5,26,63,49,85.4,51,42.9,21.1,41.8,34.8,23.5,45.3,21.3,21,12.4
Verdugo, Alex,657077,2022,0.732,89.1,8.4,6,7.6,27.3,22.8,33.9,2.3,38.2,64.1,24.9,68,48,90.4,52,44.1,15.5,30.4,41.5,28.1,46.2,23,26.5,4.3
DeJong, Paul,657557,2022,0.53,87.6,21.7,9.8,5.3,20.3,39.1,20.3,5.3,37.6,70.7,27.9,43.2,51.1,73.4,48.9,43,35.2,45.1,24.8,30.1,32.3,34.6,21.8,11.3
Laureano, Ramon,657656,2022,0.663,88.7,14.9,11.6,4.1,23.6,26.9,29.3,4.5,38.4,64.2,28.8,47.3,50.4,79.7,49.6,43.5,30.3,41.3,32.2,26.4,43.4,30.2,18.6,7.9
Papierski, Michael,657709,2022,0.41,77.4,12.2,0,3,20.9,22.4,34.3,19.4,9,56.1,29.7,65.5,47.7,85.8,52.3,44.3,19.1,38.8,37.3,23.9,47.8,19.4,19.4,13.4
Sheets, Gavin,657757,2022,0.706,88.6,14.8,6.5,6.1,21.4,29.6,34.7,1,36.1,63.7,33.2,66.9,52.4,84.5,47.6,41.3,21.9,38.4,36.7,24.8,41.2,24.8,23.5,10.5
Olivares, Edward,658668,2022,0.743,89.2,6.6,6.3,5.6,28.6,16.7,38.9,3.2,38.9,70.1,33.3,61,51.4,82.1,48.6,41.2,24.9,43.7,39.7,16.7,47.6,19.8,28.6,4
Moncada, Yoan,660162,2022,0.625,88.7,15.7,9.8,6.3,22.1,30.2,28.8,2.1,37.5,66,28.1,49.6,50,81.5,50,42.9,27.8,34.7,41.1,24.2,39.3,32.6,21.1,7
Ohtani, Shohei,660271,2022,0.875,92.9,12.1,16.8,5.6,24.5,19.9,29.9,3,49.8,72.1,28.4,60.2,52.2,76.9,47.8,44.7,28.1,36,36.2,27.8,43,30.1,23.6,3.3
Tsutsugo, Yoshi,660294,2022,0.478,88.8,10.1,5.6,3.2,22.6,28.2,40.3,0,36.3,64.9,25.4,59.5,53,86.3,47,41.6,21.9,29.8,38.7,31.5,47.6,23.4,22.6,6.5
Castillo, Diego,660636,2022,0.633,89.1,14.6,9.9,8.4,21.5,25.7,32.5,2.1,38.7,57.1,30.4,57.7,50.1,81,49.9,41,26.7,40.8,36.1,23,41.4,34,20.4,4.2
Brujan, Vidal,660644,2022,0.487,86.1,14.2,2.7,2.7,23.2,34.8,34.8,1.8,27.7,71.3,31.9,66,52.8,85.9,47.2,41.5,20.7,40.2,30.4,29.5,46.4,22.3,21.4,9.8
Garcia, Dermis,660650,2022,0.652,86.5,12.2,13.1,1.6,16.4,24.6,32.8,11.5,42.6,77.7,29.4,29.1,54.8,67.6,45.2,43.4,44.5,55.7,26.2,18,45.9,26.2,18,9.8
Acuna Jr., Ronald,660670,2022,0.764,91.2,10.8,12.8,6.1,21.8,20.3,32.3,5.8,49.7,73.5,24.3,59.9,52.1,80.6,47.9,42.6,24.9,40.4,39.5,20.1,47.7,24.7,21.2,6.4
Ruiz, Keibert,660688,2022,0.672,88,14.9,3.7,7.5,28.8,26.8,28.8,3.2,32.3,72.2,31.3,72.5,52.1,91,47.9,41.7,14.9,49.6,34.6,15.9,40.6,25.1,28.2,6.1
Montero, Elehuris,660707,2022,0.702,89.8,13.2,8.6,6.9,25.9,27.6,28.4,2.6,39.7,70,35.9,39.7,52.1,78.3,47.9,37.2,35.5,37.9,47.4,14.7,36.2,28.4,28.4,6.9
Gonzalez, Oscar,660757,2022,0.789,88.6,5.4,7.3,4.8,28.4,18.3,36.3,4.2,40.1,74.3,46.6,61.5,54.2,82,45.8,41.7,26.7,38.8,39.8,21.5,49.8,18.3,26.6,5.2
Yepez, Juan,660766,2022,0.742,86.5,17.1,9.2,5.6,17.3,33.2,28.6,6.1,33.7,73.6,37.1,56.2,52.4,83.7,47.6,39.9,26.1,42.9,37.2,19.9,37.8,31.1,19.9,11.2
Sanchez, Jesus,660821,2022,0.682,89.5,11,9.9,3.2,21.2,25.7,35.1,5,40.5,66.6,32.7,52.8,55.4,80.9,44.6,42.6,29.6,41.9,30.6,27.5,46.8,26.6,19.4,7.2
Contreras, William,661388,2022,0.86,90.4,6.1,13.4,4.7,24.6,15.5,37.1,4.3,46.6,62.8,28.8,49.8,53.7,74.2,46.3,41.3,34.3,36.6,41.8,21.6,53.4,24.6,18.5,3.4
Serven, Brian,661531,2022,0.59,84.5,12.5,2.7,4.1,26.7,24,33.6,8.2,29.5,72.7,36.9,61.1,50.8,78.9,49.2,43.2,27.2,39.7,37.7,22.6,45.2,18.5,26,10.3
Varsho, Daulton,662139,2022,0.743,87.7,14.9,10.2,8.4,16.8,26,30.3,7.1,35.6,69.1,30.5,61.5,48,78.2,52,44,25.2,50.9,32.1,17,42.7,29.8,19.6,7.9
Nootbaar, Lars,663457,2022,0.788,91.7,10.7,12.1,4.9,22.3,23.2,33.5,4,46,58.5,21.1,62.3,51.6,80.4,48.4,44.1,23.5,43.8,34.4,21.9,46,25,23.7,5.4
Nevin, Tyler,663527,2022,0.56,87.3,17.7,3.5,5.3,26.3,32.5,25.4,6.1,37.7,69,23.7,50.5,51.6,81.5,48.4,43.1,26.8,36,33.3,30.7,39.5,28.1,25.4,7
Hoerner, Nico,663538,2022,0.736,87.2,10.7,2.6,4.7,26.3,24.4,35.9,4,33.5,65.2,33.7,71.9,50.9,92.6,49.1,42.7,14.2,33.6,35.2,31.2,46.5,24.2,23.5,5.9
Riley, Austin,663586,2022,0.878,92.5,12.9,15.7,8.4,20.2,22.8,29.7,2.9,50.8,75.4,30.1,52.3,52.7,81.3,47.3,41.4,27.6,39.2,36.4,24.4,39,28.8,26.2,6
Madrigal, Nick,663611,2022,0.585,85.9,-0.2,0,1.6,23.9,16.3,51.1,4.3,24.6,59.8,28.4,80.7,49.2,93.4,50.8,45.2,10.3,26.1,45.1,28.8,62.5,9.8,23.9,3.8
Larnach, Trevor,663616,2022,0.712,90.1,13.1,11.4,10.5,20,23.8,32.4,1.9,43.8,59.5,25.1,30.5,52.2,73.3,47.8,42.5,40.2,38.1,36.2,25.7,41.9,36.2,18.1,3.8
Mountcastle, Ryan,663624,2022,0.729,91.3,15.9,15,4.7,27,24.3,26.5,1.7,46.3,79.1,37.8,57.1,55.5,78,44.5,41.2,29.8,32.1,37.5,30.4,37.3,32.1,25.7,4.9
McKenna, Ryan,663630,2022,0.63,86.7,15.4,9.6,3.8,22.1,26,30.8,6.7,30.1,72.3,28.8,38.5,45.5,72.8,54.5,42.8,35,40.4,31.7,27.9,43.3,25,25,6.7
Hayes, Ke'Bryan,663647,2022,0.659,91,5.2,3.9,6.2,27.5,21,38.4,1.8,46.8,61.3,27.1,58.7,52.6,89.3,47.4,42.3,20.7,26,40.5,33.5,49.6,17.7,27,5.7
Tucker, Kyle,663656,2022,0.806,90,19,10.2,10.2,21.7,30.2,25.3,2.2,42.4,80.2,26.1,60,50.8,86.6,49.2,43.2,19.9,41.9,34.8,23.3,34.4,37.7,22,6
India, Jonathan,663697,2022,0.705,85.1,14.5,4.8,4.5,26.7,27.4,30.8,5.1,28.8,56.9,24.5,54.7,48,84.9,52,43.6,23.6,44.2,34.6,21.2,41.8,25.7,23.6,8.9
Bart, Joey,663698,2022,0.66,87.3,16.3,10.1,6,30.9,20.1,22.1,10.1,43,63.4,31,42.8,50,70.4,50,43.6,38,51.7,24.8,23.5,44.3,24.2,22.1,9.4
Raleigh, Cal,663728,2022,0.774,90.9,22.5,15.4,8.7,17.8,36.4,19.4,2.4,43.5,77.7,31.1,50.9,53.8,75.4,46.2,42.1,32.1,45.8,32,22.1,29.2,41.5,20.2,9.1
Fortes, Nick,663743,2022,0.696,89.3,15.4,7,5.2,25,31.4,28.5,1.7,37.8,64.7,25.3,56,50.7,85.6,49.3,42.4,22.9,40.7,33.1,26.2,39.5,29.1,20.3,11
Grisham, Trent,663757,2022,0.622,88.3,15.1,8.1,5.8,19,28.1,28.4,10.3,35.5,56,20.8,52.7,49.1,78.5,50.9,44.7,26.2,43.5,31.6,24.8,46.1,30,14.8,9
Vierling, Matt,663837,2022,0.648,91.2,12,5,7.7,29.9,24.5,31.8,1.1,47.1,59.9,28.3,63.5,48.4,86.9,51.6,41.6,19.5,28.4,42.5,29.1,41.4,23.4,27.6,7.7
Rivas III, Alfonso,663845,2022,0.627,86.9,4.9,4.2,3,29.3,19.8,32.3,10.2,35.3,62.1,22.5,44.9,50.8,84,49.2,42.6,26.2,32.3,38.3,29.3,52.1,19.2,26.3,2.4
Gonzalez, Romy,663853,2022,0.609,91.2,3.3,9,4.5,25.4,17.9,37.3,4.5,49.3,70.6,35.4,41.8,48.1,71.5,51.9,46.1,37.9,29.9,34.3,35.8,58.2,26.9,13.4,1.5
Stephenson, Tyler,663886,2022,0.854,87.1,11.1,6.6,7.4,29.8,19,33.1,4.1,34.7,62,25.1,50,50,82.4,50,45.6,27,46.3,34.7,19,40.5,18.2,36.4,5
Williams, Luke,663897,2022,0.602,83.3,16.7,3.6,4.8,27.7,31.3,24.1,8.4,22.9,71.3,29.9,40,49.6,77.8,50.4,43.9,29.9,41,36.1,22.9,41,21.7,24.1,13.3
Rodgers, Brendan,663898,2022,0.733,90,4.6,7.2,5.6,26.2,17.9,39,3.5,45.9,72,27.3,58.4,50.5,84.6,49.5,41.9,22.7,27.4,38.5,34.1,52,19.7,25.5,2.8
Lowe, Nathaniel,663993,2022,0.851,90.2,8.2,9.9,5.2,28,18.4,35,3.4,44.8,74,29.2,56.1,48.6,82.1,51.4,44.5,24.9,30.7,40.8,28.5,48.2,21.5,26,4.3
Happ, Ian,664023,2022,0.781,89.7,10.9,6.5,6.5,24.1,23.8,35.3,2.8,40.4,71.7,26.6,55.4,50.6,79.5,49.4,45,27.2,40,34.6,25.5,47.4,24.8,22,5.8
France, Ty,664034,2022,0.773,87.6,10.1,5.4,5,27.5,21.9,35.1,3.9,36.7,75.9,31.7,60.6,53.2,90.2,46.8,41.9,19.3,35.5,35.1,29.4,47.8,21.2,25.5,5.4
Lowe, Brandon,664040,2022,0.691,89.4,16.6,10.3,4.6,20,30.9,29.1,5.1,38.9,77.9,29.9,42.2,51.3,75.9,48.7,43.2,33.5,38.3,39.4,22.3,38.3,26.3,24.6,10.9
Bader, Harrison,664056,2022,0.65,83.4,16.7,3.4,5.6,24.1,31.9,26.3,8.6,26.3,64.6,34.5,59.1,55,88.1,45,40.6,22.1,34.5,46.1,19.4,41.4,25,20.7,12.9
Fletcher, David,664058,2022,0.618,82.1,15,0,0.5,32.2,30.7,29.7,6.4,7.4,60.3,32.5,74.5,43,92.8,57,44,12.2,33.2,33.2,33.7,37.1,20.3,31.7,10.9
Haggerty, Sam,664059,2022,0.737,86,13.6,4,2.4,28.6,24.6,32.5,7.9,24.6,71.7,27.5,51.5,50.9,76.1,49.1,44.1,27.9,43.7,32.5,23.8,46,20.6,24.6,8.7
Moore, Dylan,664238,2022,0.75,87.2,20.7,12.9,7.6,17.4,31.1,22.7,8.3,36.4,59.2,18.8,56.5,50.8,76.7,49.2,41.8,27.6,38.6,37.1,24.2,32.6,32.6,22,12.9
Garlick, Kyle,664247,2022,0.717,90.2,15.1,9.7,8.7,23.3,23.3,32,2.9,47.6,64.4,33.6,45.6,51,75.3,49,46,35.2,47.6,29.1,23.3,41.7,29.1,22.3,6.8
Lopez, Alejo,664670,2022,0.645,83.8,9.3,0.8,4.8,25,25,38.7,3.2,20.2,72.4,29.2,71.4,50.4,88.8,49.6,43.3,16.3,35.5,34.7,29.8,47.6,18.5,30.6,3.2
Straw, Myles,664702,2022,0.563,87,9.8,0.7,4.8,25.1,28.6,35.9,4.4,26.5,58,19.6,71.6,45.6,91.7,54.4,41.9,12.6,24,39.4,36.6,47.6,22.5,26.2,3.7
Isbel, Kyle,664728,2022,0.602,89.7,10.6,4.9,7.1,23.4,25,32.6,6.5,44.6,65.1,28.2,61,50.9,84,49.1,45.3,21.9,47.3,32.6,20.1,44,20.1,25.5,10.3
Higgins, P.J.,664731,2022,0.689,86,8.7,3.4,4.1,25.9,23.8,35.4,6.1,25.5,62,25.7,45.5,52.3,84.6,47.7,44.6,27.3,34.7,35.4,29.9,44.9,21.1,27.2,6.8
Bohm, Alec,664761,2022,0.713,90.2,10.4,6.8,6,29.8,21.6,33.3,2.5,43,72.1,31.4,68.2,51.4,83.9,48.6,43.7,21.1,30.2,39.1,30.7,46.3,21,27.2,5.6
Wade Jr., LaMonte,664774,2022,0.662,87.7,21.1,9.5,5.9,19.5,33.7,26,5.3,34.3,67.2,23.7,62.8,51.5,87.6,48.5,45.1,17.8,38.5,39.1,22.5,34.3,38.5,17.8,9.5
Zavala, Seby,664874,2022,0.723,88.8,22.7,9.2,6.7,26.1,35.3,17.6,4.2,37,77.3,31.7,37.9,52.2,73.4,47.8,42.6,37.6,39.5,30.3,30.3,29.4,33.6,29.4,7.6
Mendick, Danny,664901,2022,0.783,86.8,10.3,4,2.7,25.3,25.3,38.7,4,20,64.2,19.3,60,49.1,78.3,50.9,39.1,25.3,34.7,36,29.3,45.3,24,28,2.7
Brown, Seth,664913,2022,0.749,89.2,15.8,13,5.4,23.4,29.6,24.8,3.7,41.4,69.7,29,45.2,52.6,81.5,47.4,42.6,29.6,40.3,36.1,23.7,36.6,30.4,24.5,8.5
McCarthy, Jake,664983,2022,0.766,87.4,8,4.8,3.2,25.3,20.5,37.8,8.4,33.7,74.7,29.7,48.9,48,78,52,42.4,27.4,34.9,41,24.1,51.8,21.7,23.3,3.2
Clemens, Kody,665019,2022,0.505,89.4,17.4,5.8,5.8,20.9,37.2,27.9,2.3,37.2,71.5,33.3,54.9,48.3,80.3,51.7,44,27.4,54.7,25.6,19.8,38.4,36,17.4,8.1
Walsh, Jared,665120,2022,0.642,90.1,10.7,9.5,6,24.6,22.5,33.3,4.2,42.5,66,30.8,55.3,47.8,79.2,52.2,43.8,27.6,37.9,39.6,22.5,46.3,24.2,23.5,6
Pena, Jeremy,665161,2022,0.713,88.1,8.7,9.7,5.4,25,19.9,33.7,5.9,36.7,75.2,37.9,45.3,53.5,83.6,46.5,41.1,29.7,42.6,33.2,24.2,47.7,22.4,25.3,4.6
Celestino, Gilberto,665482,2022,0.613,87.3,-1.9,2.5,4.2,22.9,15.7,47,6.8,34.3,65.8,21.8,56.8,48.4,82.6,51.6,43.3,23.4,28.4,34.3,37.3,60.6,14.4,22,3
Guerrero Jr., Vladimir,665489,2022,0.818,92.8,4.3,11.2,6.8,20.2,17.1,41.6,2.1,50.4,71.5,30.5,58.6,53,83.8,47,42,24.4,37.8,39.9,22.2,52.3,17.1,24.5,6.1
Pache, Cristian,665506,2022,0.456,89.4,3.8,3.4,3.4,25.9,16.1,44.8,5.7,40.8,73.5,27.4,39.2,49.8,77.6,50.2,42.8,30.2,42.5,39.1,18.4,58,16.7,19.5,5.7
Soto, Juan,665742,2022,0.853,91,9.1,12.4,7.2,18.2,22.2,36,4,47.4,56.3,17.2,64.2,53.3,86,46.7,41.2,19.2,33.6,42.1,24.3,47.4,27.1,19.2,6.3
Taveras, Leody,665750,2022,0.674,89.3,12,4.3,3,27.4,28.3,32.2,4.3,36.1,68.1,31.7,48.1,52,79.9,48,43.2,28.1,34.3,39.1,26.5,44.8,22.6,24.3,8.3
Cabrera, Oswaldo,665828,2022,0.739,86.8,21.5,6.3,8.9,26.8,37.5,17,3.6,34.8,72.6,34,53.9,52.5,82.2,47.5,42.6,26.9,34.8,38.4,26.8,30.4,36.6,25,8
Cruz, Oneil,665833,2022,0.744,91.9,8.3,15.5,2.9,18.4,20.4,39.3,2.9,46.1,52.9,30.5,43.5,55.3,79.7,44.7,44.6,35.4,41.3,37.9,20.9,49.5,22.8,21.4,6.3
Chisholm Jr., Jazz,665862,2022,0.859,90.4,15.5,16.7,4.7,25.3,23.3,26.7,2.7,46.7,67.6,27,46.5,50.3,74.6,49.7,44.3,32.1,48.7,30,21.3,39.3,34.7,20.7,5.3
Gimenez, Andres,665926,2022,0.834,87.8,11.7,6.2,6.5,25.6,20.7,32.4,8.5,37.8,70.9,38.4,59.5,52.9,79.6,47.1,41.5,26.2,37.8,40.4,21.8,48.2,19.4,24.4,8
Kirilloff, Alex,666135,2022,0.65,89.3,6.1,6.4,5.5,23.6,20,41.8,2.7,45.5,71.3,30.3,68.4,51.1,85,48.9,42.5,20.1,31.8,37.3,30.9,55.5,26.4,15.5,2.7
Lowe, Josh,666139,2022,0.625,88.3,11.4,5.2,10.3,22.4,27.6,30.2,4.3,37.1,66.5,25.4,57,49.5,71,50.5,39.6,32.6,29.3,41.4,29.3,36.2,29.3,31,3.4
Lux, Gavin,666158,2022,0.745,88,6.8,6.1,6.1,24,20.4,39.8,3.3,39.8,62.4,23.7,56.7,51.2,84.7,48.8,43.7,23.3,37.7,40.1,22.2,49.5,21.9,24,4.6
Moniak, Mickey,666160,2022,0.507,84.9,19.1,7.9,1.6,14.3,30.2,30.2,15.9,31.7,73.8,45.3,42.2,54.6,76.8,45.4,47.1,37.9,49.2,23.8,27,38.1,30.2,19,12.7
Adell, Jo,666176,2022,0.636,87.4,16.7,9.9,3.1,22.8,27.8,30.9,5.6,37.7,70,34.6,51.9,51.1,69.9,48.9,41.5,36.2,45.7,31.5,22.8,40.7,22.8,25.3,11.1
Beer, Seth,666179,2022,0.521,85.9,10.7,3.7,9.9,23.5,19.8,34.6,6.2,29.6,69.4,26.7,57.8,51.2,76.7,48.8,44.1,28.7,35.8,39.5,24.7,46.9,19.8,29.6,3.7
Bichette, Bo,666182,2022,0.802,91.9,8.5,9.6,7.2,27.1,17.2,35.5,2.4,50.3,77.6,35.2,59.7,51.1,85.2,48.9,42.7,23,29.3,35.9,34.9,49.1,22,24.6,4.2
Carlson, Dylan,666185,2022,0.695,86.1,12.9,4.4,7.3,22.2,29.8,30.7,5,27.2,67.8,24.8,59.6,50.3,79.5,49.7,45,25.6,34.8,38,27.2,43,27.5,25.1,4.4
Trammell, Taylor,666211,2022,0.684,88.3,20.5,9.9,5.6,18.3,33.8,28.2,4.2,28.2,69.5,26.3,33.3,50.5,77.7,49.5,44.9,33.7,38,38,23.9,39.4,33.8,16.9,9.9
Morel, Christopher,666624,2022,0.739,89.6,9.1,13.4,5.7,22.3,16.6,34,6.5,40.3,72,28.6,48.9,50.5,65.2,49.5,43.4,38.3,39.3,42.9,17.8,51,24.3,18.2,6.5
Castro, Rodolfo,666801,2022,0.725,87.3,11.7,6.7,7.2,20,21.7,38.3,5.6,35,67.7,27.5,46.2,50.3,75.9,49.7,43.7,32.6,38.9,36.7,24.4,51.1,24.4,17.2,7.2
Dalbec, Bobby,666915,2022,0.652,90.3,15.2,11.8,6.4,22.2,28.6,28.1,2.5,45.8,66.3,29,43.6,53.1,75.6,46.9,42.5,35,35.5,38.4,26.1,38.9,33.5,21.2,6.4
Garcia, Adolis,666969,2022,0.756,92.1,13.2,12.9,9.3,22.9,22.9,28.7,2.8,47.4,73.5,37.3,55.4,55.3,73.4,44.7,41.2,33.5,39.3,37.9,22.9,41.1,25,24.5,9.3
Gurriel Jr., Lourdes,666971,2022,0.742,90.6,10.9,3.8,8.9,30.9,21.8,32.3,2.4,45.7,68.5,29.5,62.9,50.8,85.6,49.2,42.9,21.3,35.5,36.8,27.7,45.7,22,26.3,5.9
Arozarena, Randy,668227,2022,0.773,89.9,8.8,7.9,5.8,20.1,22.7,40.5,2.5,41,64.1,30.9,58.7,54.3,78.4,45.7,42.3,28.6,32.4,44.2,23.4,50.2,19.7,20.8,9.3
Pratto, Nick,668472,2022,0.655,86,19.7,12.5,7.3,18.8,32.3,20.8,8.3,36.5,65.1,26.2,40.4,50.4,76,49.6,44,34.4,43.8,30.2,26,33.3,40.6,17.7,8.3
Bleday, JJ,668709,2022,0.586,86.3,25,8.6,5,20.9,44.6,14.4,6.5,33.8,71.2,24.3,54.6,52.1,77.8,47.9,41.9,27.9,49.6,32.4,18,25.2,38.1,25.2,11.5
Steer, Spencer,668715,2022,0.632,84.7,13.6,5.8,1.4,23.2,29,30.4,10.1,31.9,59.5,24.8,63,50.9,85.6,49.1,40.7,21.2,43.5,33.3,23.2,43.5,24.6,21.7,10.1
Baddoo, Akil,668731,2022,0.558,85,14.2,3.6,2.2,21.9,32.1,32.1,7.3,27,70.7,26.8,50,53.8,79.6,46.2,44.4,28.1,34.3,35,30.7,42.3,24.8,21.2,11.7
